feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,uncertainty_train,uncertainty_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar']",0.7510121989227447,0.6309653980895316,17.401274909141783,20.07828852462985,0.6527727920963559,0.7577380387568927,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_gi_h_mean', 'vi_ci_chloro_h_mean', 'vi_ndre_h_mean', 'ref_h_mean_6', 'ref_h_mean_37']",0.8670127619257366,0.7038003547657583,13.890373590242547,17.406908453050885,0.4770654803569394,0.6788562364414815,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_mcari_h_mean', 'ref_h_mean_33', 'ref_h_mean_51']",0.8524386578419657,0.7079371323693482,14.099153851214302,17.15451392039912,0.5025268927369627,0.6740990538768714,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_mcari_h_mean', 'ref_h_mean_14', 'ref_h_mean_33', 'ref_h_mean_51']",0.8563182115215512,0.7031956791989471,13.852846622084684,16.962762584762782,0.4958768939649142,0.6795488073181976,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.8506400570145156,0.7029778852585521,13.85007177518095,16.822007773383525,0.5055802254228045,0.679798086828738,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'fa_h_0', 'fa_h_1', 'fa_h_2']",0.857942430617345,0.6828072938881811,13.664659065415035,17.57294159944436,0.49306616256230507,0.7025013143520069,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'ica_h_0', 'ica_h_1', 'ica_h_2']",0.8506339673354315,0.7029849575837102,13.851266514733757,16.821885236782673,0.5055905320347409,0.6797899935227303,0.0,0.0
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'plsr_h_0', 'plsr_h_1', 'plsr_h_2']",0.8554575837678295,0.7231401475156474,14.055585631192047,17.078947373761157,0.4973597828783142,0.6563198458046611,0.0,0.0
