feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,var_explained_train,var_explained_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol']",0.7300739978611583,0.6235917240601789,19.585219036924972,21.38862393366818,0.679665727326517,0.7652707723629714,0.6223674572186683,0.6223674572186683
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_gndvi_m_mean', 'vi_msr_m_mean', 'vi_tcari_m_mean', 'vi_spvi_m_mean', 'vi_gi_m_mean', 'ref_m_mean_0']",0.7561500176239042,0.6574501656732115,17.79824659157846,20.300329586821935,0.6460027605980859,0.7300412936046883,0.597815890823755,0.597815890823755
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.7449844574972535,0.6330719850762934,18.88100769735141,21.239455316211064,0.6606270233160915,0.7555722180000729,0.5981447262285815,0.5981447262285815
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.7495524001925222,0.6414581780792861,18.400494977709712,20.659641539014615,0.65468357697517,0.7468879548534,0.6079808337980419,0.6079808337980419
