feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,mean_std_train,mean_std_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol']",0.8024004798829001,0.7273290426864095,15.78305950211673,17.72987869964884,0.5815217360749002,0.6513358557103324,0.12632440974111203,0.142180562661176
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_gndvi_m_mean', 'vi_msr_m_mean', 'vi_tcari_m_mean', 'vi_spvi_m_mean', 'vi_gi_m_mean', 'ref_m_mean_0']",0.9062060237946203,0.7309082695318466,10.619244021578757,16.077008339285747,0.40064569751301227,0.6470468404114178,0.17396056008598085,0.2750010922571374
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.8210623707202065,0.7460916086044778,14.523459194434235,16.841486527445486,0.5533804971568664,0.6285271931286981,0.1609392642334859,0.18117545961548648
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.826453472202924,0.7635432459641847,14.4225786760706,15.874757652034576,0.5449805139435623,0.6065427372212958,0.16865528076789366,0.18814288629999112
