feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,var_explained_train,var_explained_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar']",0.6892863745451929,0.5615261193127002,21.362226210087425,22.443862652944134,0.7292109119365028,0.8259569447594104,0.6486185738405666,0.6486185738405666
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_gi_h_mean', 'vi_ci_chloro_h_mean', 'vi_ndre_h_mean', 'ref_h_mean_6', 'ref_h_mean_37']",0.7398317662847922,0.6187815633380238,18.490472576075,20.665264889298882,0.6672677632175973,0.7701449873860217,0.6988596080730967,0.6988596080730967
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_mcari_h_mean', 'ref_h_mean_33', 'ref_h_mean_51']",0.7480415610032676,0.6328986779743355,17.836972166493045,20.05225720798178,0.6566553154847758,0.7557506325223626,0.6958168140788334,0.6958168140788334
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_mcari_h_mean', 'ref_h_mean_14', 'ref_h_mean_33', 'ref_h_mean_51']",0.7108774033457179,0.6072846467808789,19.392788825093646,20.652314356941673,0.7034188908925202,0.7816718735227713,0.6410695338978558,0.6410695338978558
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.741080084535763,0.6201669454038095,18.30512167385759,20.607369094706613,0.6656650231695874,0.7687443256396497,0.7010483554618099,0.7010483554618099
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'fa_h_0', 'fa_h_1', 'fa_h_2']",0.736792834075213,0.6167210617028651,18.66493003939295,20.739354179661127,0.671153507364896,0.772223515513091,0.6910158932335806,0.6910158932335806
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'ica_h_0', 'ica_h_1', 'ica_h_2']",0.7410800830392208,0.6201669457471388,18.305121809787316,20.607369307402294,0.66566502509334,0.7687443252922174,0.7010483443080566,0.7010483443080566
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'plsr_h_0', 'plsr_h_1', 'plsr_h_2']",0.735803270023413,0.6187760240160873,18.785636368031007,21.183674412328333,0.6724139713646986,0.7701505826892856,0.6881576772134711,0.6881576772134711
