feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,feature_importance_std_train,feature_importance_std_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.8397967120993934,0.5362776548708823,16.442768121136698,24.772162048186974,0.5236109523824641,0.8494044987261553,0.3230667,0.3230667
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1', 'vol_lidar_m']",0.8950501801299553,0.7132260834018166,11.033448081732686,17.91731900098399,0.4238028357959493,0.667967556245894,0.27226502,0.27226502
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.8456937600345639,0.5671505053029611,14.816466740504003,22.332934876390752,0.5138835954018148,0.8206424957506165,0.1959867,0.1959867
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2', 'vol']",0.8715038282498292,0.7540596303358031,12.474521208644884,16.58661806109717,0.46894089086646323,0.6185865257256403,0.16212828,0.16212828
