feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,mean_std_train,mean_std_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar']",0.7645361418803337,0.6586171018422887,17.206899458085463,19.378070299735537,0.6347973973494154,0.7287967471509943,0.13123648521326411,0.15057776434155334
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_gi_h_mean', 'vi_ci_chloro_h_mean', 'vi_ndre_h_mean', 'ref_h_mean_6', 'ref_h_mean_37']",0.8282377543287716,0.7222834795524354,14.718095194330235,17.144996663031385,0.5421717245288578,0.65733446370758,0.2016033633503843,0.24051987897121413
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_mcari_h_mean', 'ref_h_mean_33', 'ref_h_mean_51']",0.816065388975865,0.7188006540640753,15.220468681632275,17.169430898910576,0.5610540978583874,0.6614434164850247,0.1829960652520331,0.21206697738284772
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_mcari_h_mean', 'ref_h_mean_14', 'ref_h_mean_33', 'ref_h_mean_51']",0.8169181475949225,0.7174014078094801,15.172981458541917,17.184741904264737,0.5597520059217909,0.6630870435843081,0.18668835048314347,0.2177457538770236
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.8162421421127997,0.7290731403235626,15.125231581482435,17.048937764834672,0.5607844588091196,0.6492494294136715,0.17712730231985574,0.20590086756199338
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'fa_h_0', 'fa_h_1', 'fa_h_2']",0.8185423959042003,0.7265112404297213,15.203060160050871,17.33352578206117,0.5572634967712965,0.6523118766636343,0.17841884777404696,0.20965380273384793
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'ica_h_0', 'ica_h_1', 'ica_h_2']",0.8162421189092233,0.729073158584995,15.125234087106426,17.048938750175164,0.560784494214965,0.6492494075328128,0.17712729849634495,0.20590084403387832
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'plsr_h_0', 'plsr_h_1', 'plsr_h_2']",0.8242483563898807,0.7254582198817631,14.913963358146662,17.517387554550208,0.5484318990678867,0.6535664764611182,0.18389289361004807,0.22036523248368473
