feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,feature_importance_std_train,feature_importance_std_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.7630396375832732,0.5400448802672013,19.037411269714134,24.143203244250063,0.6368114482730806,0.845947232040127,0.12388978933486201,0.12388978933486201
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1', 'vol_lidar_m']",0.8633355040177411,0.6903611269086134,13.401813030079301,18.997270652717525,0.48361622378846486,0.6940859993356051,0.08938871253813181,0.08938871253813181
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.8434863480002199,0.5576983729037022,15.568267218004738,22.81215727581321,0.5175461976127412,0.8295542899675384,0.08502100663756539,0.08502100663756539
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2', 'vol']",0.9139389015561791,0.7179246621023112,10.810318264560655,18.172407287918844,0.38377479827176764,0.6624728793454303,0.08767982982748113,0.08767982982748113
