feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,mean_std_train,mean_std_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.7478968574704346,0.5689288639222749,18.79824852185612,21.096513302303745,0.656843851946175,0.8189549591580955,0.20914662444955356,0.2447875014336412
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1', 'vol_lidar_m']",0.8027045744672737,0.7390153644358679,15.220410026575196,16.658976651634106,0.581074099110181,0.6372253073448411,0.1762129248236971,0.19889971875540913
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.7174865665065984,0.5494277130549936,20.09953248778681,22.555385553829854,0.6953325518720966,0.8372743432476328,0.23261064647243562,0.2592251369639876
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2', 'vol']",0.8679485112616647,0.7449922110871994,12.412726619417132,15.829979224119647,0.47538410937531894,0.6298864527726892,0.13005115757575406,0.18543286614969504
