feats,r2_train,r2_test,mape_train,mape_test,rmse_train,rmse_test,var_explained_train,var_explained_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1']",0.5632561962127812,0.40442824830657886,27.8299398779751,28.499797496177624,0.864542575936499,0.9626149238209785,0.540475483177948,0.540475483177948
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vi_gndvi_m_mean', 'vi_tcari_m_mean', 'ref_m_mean_1', 'vol_lidar_m']",0.628581572753022,0.5026336599147094,24.799912558562585,25.136150925408216,0.7972687339808964,0.8796780193367726,0.5669433218298057,0.5669433218298057
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.565869323941452,0.40323652876789906,27.17581105440735,27.603165049349016,0.8619523278778344,0.9635775229723089,0.5555456772065249,0.5555456772065249
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'pca_h_0', 'pca_h_1', 'pca_h_2', 'vol']",0.7652477737153127,0.6470378125530947,17.500792919101094,20.206198839950304,0.6338374116492884,0.7410536252708726,0.6513081000417683,0.6513081000417683
